,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemod/Add,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SalePrice,MSZoning_mean_enc,LotShape_mean_enc,LandContour_mean_enc,LotConfig_mean_enc,Neighborhood_mean_enc,Condition1_mean_enc,Condition2_mean_enc,BldgType_mean_enc,HouseStyle_mean_enc,RoofStyle_mean_enc,RoofMatl_mean_enc,Exterior1st_mean_enc,Exterior2nd_mean_enc,MasVnrType_mean_enc,ExterQual_mean_enc,ExterCond_mean_enc,Foundation_mean_enc,BsmtQual_mean_enc,BsmtCond_mean_enc,BsmtExposure_mean_enc,BsmtFinType1_mean_enc,BsmtFinType2_mean_enc,HeatingQC_mean_enc,CentralAir_mean_enc,Electrical_mean_enc,KitchenQual_mean_enc,Functional_mean_enc,GarageType_mean_enc,GarageFinish_mean_enc,GarageQual_mean_enc,GarageCond_mean_enc,PavedDrive_mean_enc,SaleType_mean_enc,TotalIndoorSF,TotalIndoorSF_squared,TotalIndoorSF_sqrt,TotalOutdoorSF,RenoYr_x_YrBuilt,OverallQual_x_Cond,OverallQual_x_IndoorSF,OverallQual_squared,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
10,21.0,1680,6,5,1971,1971,232.0,387.0,96.0,483.0,483,504,987,0.0,1,1,2,4,0,1971.0,1.0,264.0,0,0,0,0,85400,129119.14240506329,162925.81235521234,178998.5648399349,177537.01463739187,103371.05263157895,185007.3101301641,181382.07555555555,133100.0,206408.96321070235,171264.25324274244,180849.19703703703,159582.47333333333,160836.88,212161.4365079365,143270.97834803528,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,164368.0170648464,185221.2841623785,138986.70519262983,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,133574.52380952382,2940.0,8643600.0,54.22176684690383,0,3884841,30,17640.0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
11,64.0,7488,7,5,2005,2005,0.0,393.0,815.0,1208.0,1208,0,1208,0.0,2,0,2,6,0,2005.0,2.0,632.0,105,58,0,0,183600,191235.16458072592,211848.67052023122,178998.5648399349,177537.01463739187,202497.21666666667,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,230802.4849354376,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,206262.45138888888,237597.24552845527,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,4832.0,23348224.0,69.51258878793107,163,4020025,35,33824.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
13,24.0,2645,8,5,1999,2000,456.0,813.0,147.0,960.0,962,645,1607,1.0,2,1,3,7,0,2000.0,2.0,480.0,169,0,0,0,200000,218618.31683168316,162925.81235521234,178998.5648399349,177537.01463739187,227183.9,185007.3101301641,181382.07555555555,133100.0,206408.96321070235,171264.25324274244,180849.19703703703,154402.0483383686,155978.63580246913,212161.4365079365,230802.4849354376,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,164533.53248693055,237597.24552845527,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,129091.35294117648,5134.0,26357956.0,71.65193647069142,169,3998000,40,41072.0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
14,74.0,9627,7,5,2007,2007,0.0,24.0,1327.0,1351.0,1361,0,1361,0.0,2,0,3,6,0,2007.0,2.0,610.0,0,50,0,0,193000,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,202497.21666666667,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,230802.4849354376,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,206262.45138888888,237597.24552845527,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,5424.0,29419776.0,73.64781055808787,50,4028049,35,37968.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
15,93.0,10114,5,5,2004,2005,0.0,0.0,1430.0,1430.0,1430,0,1430,0.0,2,0,3,7,0,2004.0,2.0,624.0,0,0,0,0,173500,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,167656.70731707316,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,143270.97834803528,185258.20247469065,227676.4838012959,329506.6195652174,184021.85823336968,206262.45138888888,166155.25704809287,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,5720.0,32718400.0,75.63068160475615,0,4018020,25,28600.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
16,34.0,4571,5,5,1916,1950,0.0,0.0,624.0,624.0,624,720,1344,0.0,1,0,4,7,0,1916.0,3.0,513.0,0,0,96,0,98000,129119.14240506329,162925.81235521234,178998.5648399349,177537.01463739187,125276.30061349693,185007.3101301641,181382.07555555555,185275.68588235293,206408.96321070235,171264.25324274244,180849.19703703703,103183.33333333333,107108.92857142857,153679.27586206896,143270.97834803528,185258.20247469065,129050.19004524886,139988.4611048478,184021.85823336968,164533.53248693055,166155.25704809287,185221.2841623785,117123.64179104478,100575.0780141844,187770.38222698073,139501.60744985673,183954.74934725848,132132.94776119402,140718.148409894,116184.89024390244,107387.9574468085,188792.16389038152,133574.52380952382,3936.0,15492096.0,62.73754856543249,96,3736200,25,19680.0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
17,80.0,8816,5,6,1963,1963,0.0,651.0,470.0,1121.0,1121,0,1121,1.0,1,0,3,5,0,1963.0,2.0,480.0,0,80,0,0,139000,191235.16458072592,162925.81235521234,178998.5648399349,180629.591954023,137181.9099099099,143223.60550458715,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,143270.97834803528,185258.20247469065,227676.4838012959,139988.4611048478,184021.85823336968,164533.53248693055,143263.3825136612,185221.2841623785,138986.70519262983,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,4484.0,20106256.0,66.96267617113283,80,3853369,30,22420.0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
18,71.0,8197,6,5,1977,1977,148.0,0.0,660.0,660.0,1285,0,1285,0.0,1,1,3,7,1,1977.0,2.0,528.0,138,0,0,0,143500,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,137181.9099099099,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,170511.45394736843,166485.7135135135,212161.4365079365,143270.97834803528,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,166155.25704809287,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,3890.0,15132100.0,62.369864518050704,138,3908529,30,23340.0,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
19,72.0,8640,7,5,2009,2009,0.0,24.0,732.0,756.0,764,783,1547,0.0,2,1,3,7,0,2009.0,2.0,614.0,169,45,0,0,215200,218618.31683168316,162925.81235521234,178998.5648399349,177537.01463739187,227183.9,185007.3101301641,181382.07555555555,185275.68588235293,206408.96321070235,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,143270.97834803528,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,189377.57055214723,237597.24552845527,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,205040.19538334708,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,241807.5,4606.0,21215236.0,67.86751800382861,214,4036081,35,32242.0,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,109.0,8724,5,5,1968,1968,0.0,492.0,402.0,894.0,894,0,894,0.0,1,0,3,5,1,1968.0,2.0,450.0,0,0,0,0,129000,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,137181.9099099099,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,143270.97834803528,185258.20247469065,148415.5307068366,202537.58217592593,184021.85823336968,164533.53248693055,150107.02,185221.2841623785,160174.00940438872,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,205040.19538334708,239800.66404715128,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,3576.0,12787776.0,59.799665550904216,0,3873024,25,17880.0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
21,40.0,5664,8,5,2000,2000,0.0,1158.0,343.0,1501.0,1659,0,1659,1.0,2,0,2,5,1,2000.0,2.0,499.0,212,59,0,0,278000,191235.16458072592,211848.67052023122,178998.5648399349,177537.01463739187,329675.7368421053,185007.3101301641,181382.07555555555,198312.37267080744,179809.19452313503,171264.25324274244,180849.19703703703,243429.0888888889,239540.2,153679.27586206896,230802.4849354376,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,164533.53248693055,237597.24552845527,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,336424.4635761589,183954.74934725848,205040.19538334708,239800.66404715128,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,6320.0,39942400.0,79.49842765740716,271,4000000,40,50560.0,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23,69.05520046484602,7980,6,7,1992,2007,0.0,935.0,233.0,1168.0,1187,0,1187,1.0,2,0,3,6,0,1992.0,2.0,420.0,483,21,0,0,185000,191235.16458072592,211848.67052023122,178998.5648399349,177537.01463739187,189228.3879310345,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,159582.47333333333,160836.88,153679.27586206896,143270.97834803528,167623.02325581395,227676.4838012959,202537.58217592593,184021.85823336968,164533.53248693055,164368.0170648464,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,205040.19538334708,239800.66404715128,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,4710.0,22184100.0,68.62943974709395,504,3997944,42,28260.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
24,100.0,34650,5,5,1955,1955,0.0,1056.0,0.0,1056.0,1056,0,1056,1.0,1,0,3,5,0,1955.0,2.0,572.0,264,0,0,0,145000,191235.16458072592,162925.81235521234,142868.775,177537.01463739187,189228.3879310345,185007.3101301641,181382.07555555555,123179.89130434782,179809.19452313503,224366.6549118388,180849.19703703703,142940.88768115942,145654.3969465649,153679.27586206896,143270.97834803528,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,189377.57055214723,143263.3825136612,185221.2841623785,138986.70519262983,100575.0780141844,187770.38222698073,139501.60744985673,183954.74934725848,205040.19538334708,239800.66404715128,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,4224.0,17842176.0,64.99230723708769,264,3822025,25,21120.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
25,92.0,10573,6,6,1961,1961,3.0,1312.0,141.0,1453.0,1453,0,1453,1.0,2,0,3,6,1,1961.0,2.0,530.0,0,49,0,288,187500,191235.16458072592,211848.67052023122,178998.5648399349,180629.591954023,145905.81612903226,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,224366.6549118388,180849.19703703703,154402.0483383686,155978.63580246913,212161.4365079365,143270.97834803528,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,143263.3825136612,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,5812.0,33779344.0,76.23647421018367,337,3845521,36,34872.0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
26,65.0,8450,5,8,1965,2009,0.0,553.0,224.0,894.0,894,0,894,1.0,1,0,3,5,1,1973.0,1.0,336.0,416,144,0,0,138500,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,137181.9099099099,139685.7142857143,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,154402.0483383686,155978.63580246913,153679.27586206896,143270.97834803528,167623.02325581395,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,237597.24552845527,156659.02083333334,216027.6075117371,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,3459.0,11964681.0,58.81326381013045,560,3947685,40,17295.0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
27,69.05520046484602,11700,5,6,1937,1995,0.0,606.0,336.0,942.0,1265,673,1938,0.0,2,0,4,7,1,1937.0,1.0,240.0,0,40,0,0,198000,191235.16458072592,211848.67052023122,262353.37647058826,177537.01463739187,205901.21126760563,185007.3101301641,181382.07555555555,185275.68588235293,136480.09174311926,171264.25324274244,180849.19703703703,155616.82222222222,154244.44444444444,153679.27586206896,143270.97834803528,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,150107.02,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,150424.57142857142,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,5760.0,33177600.0,75.8946638440411,40,3864315,30,28800.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
29,60.0,8064,5,7,1949,2006,0.0,0.0,672.0,672.0,672,252,924,0.0,1,0,3,6,1,2003.0,2.0,576.0,0,0,0,0,122900,191235.16458072592,162925.81235521234,178998.5648399349,180629.591954023,145905.81612903226,128765.0,181382.07555555555,185275.68588235293,136480.09174311926,171264.25324274244,180849.19703703703,154402.0483383686,155978.63580246913,153679.27586206896,143270.97834803528,167623.02325581395,148415.5307068366,139988.4611048478,184021.85823336968,189377.57055214723,166155.25704809287,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,3192.0,10188864.0,56.49778756730214,0,3909694,35,15960.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
